Year,Electric power consumption (kWh per capita),"School enrollment, primary (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)"
1979,102.223433214453,42.1765785217285,27.04413,39.61145
1980,102.988179643625,43.1518783569336,28.08905,40.93641
1981,106.089354760712,44.6970291137695,29.08685,42.61276
1982,95.9433233853475,46.4694595336914,30.51298,44.76404
1983,105.426128470113,49.0120811462402,32.19517,47.07933
1984,109.917698724827,50.7433700561523,33.05545,47.92365
1985,104.151745074851,52.06005859375,33.89343,48.52876
1986,101.639072458015,53.9548301696777,37.53358,54.15046
1987,103.406840907921,54.5733108520508,38.159189999999995,54.176215
1988,104.563144074043,55.3095397949219,38.7848,54.20197
1989,100.636446796797,54.6141395568848,38.557355,52.77982
1990,103.636484666384,54.6507911682129,38.32991,51.35767
1991,102.636891309079,54.8152389526367,38.293504999999996,50.850465
1992,109.260264207088,54.2021293640137,38.2571,50.34326
1993,104.41534698958,53.4124984741211,39.71932,51.488172500000005
1994,110.033390583789,54.3690414428711,41.18154,52.633085
1995,109.318995590877,55.3205986022949,42.64376,53.7779975
1996,110.06566802736,59.1126403808594,44.10598,54.92291
1997,117.513356055503,63.2571983337402,48.69991,59.03978
1998,122.168122592609,66.7360992431641,51.95599,61.16169
1999,118.302109727924,65.9185485839844,50.77453,60.32928
2000,102.574738199669,69.263427734375,54.80801,61.96139
2001,124.550323511992,71.2180404663086,57.414723333333335,63.90111666666667
2002,147.320531260201,72.1702728271484,60.021436666666666,65.84084333333334
2003,127.496486020399,76.0498199462891,62.62815,67.78057
2004,140.331947497535,78.120491027832,62.54877,64.78611
2005,160.232769431808,79.9345016479492,64.00341,65.44493
2006,159.546410258483,80.0220336914063,66.75634,67.00272
2007,184.049394716217,83.5587463378906,69.80754,68.89075
2008,160.936952948682,84.0872573852539,71.3625,69.04859
2009,192.378098114289,83.8946304321289,72.1801,68.97246
2010,202.868747075677,84.0348815917969,73.6628,69.52928
2011,203.777729135052,86.9881286621094,74.60177,69.92345
2012,215.490370050241,86.8044586181641,77.19371,71.40988
2013,215.346796861509,84.5947265625,76.11761,70.30544
