Year,Electric power consumption (kWh per capita),"Life expectancy at birth, female (years)"
1971,73.845480611003,40.757
1972,74.7309299600941,41.534
1973,80.2450262566446,42.45
1974,79.8384553280912,43.483
1975,83.1668981140587,44.6
1976,86.6061425505469,45.761
1977,91.8650417619252,46.929
1978,97.424359971892,48.074
1979,102.223433214453,49.174
1980,102.988179643625,50.234
1981,106.089354760712,51.272
1982,95.9433233853475,52.313
1983,105.426128470113,53.362
1984,109.917698724827,54.404
1985,104.151745074851,55.41
1986,101.639072458015,56.343
1987,103.406840907921,57.171
1988,104.563144074043,57.868
1989,100.636446796797,58.422
1990,103.636484666384,58.817
1991,102.636891309079,59.048
1992,109.260264207088,59.14
1993,104.41534698958,59.134
1994,110.033390583789,59.063
1995,109.318995590877,58.97
1996,110.06566802736,58.896
1997,117.513356055503,58.874
1998,122.168122592609,58.931
1999,118.302109727924,59.091
2000,102.574738199669,59.368
2001,124.550323511992,59.764
2002,147.320531260201,60.253
2003,127.496486020399,60.812
2004,140.331947497535,61.428
2005,160.232769431808,62.094
2006,159.546410258483,62.806
2007,184.049394716217,63.554
2008,160.936952948682,64.322
2009,192.378098114289,65.088
2010,202.868747075677,65.829
2011,203.777729135052,66.521
2012,215.490370050241,67.152
2013,215.346796861509,67.717
