,y_test,y_pred_GB,y_pred_LR
0,7573.432064829394,7239.831431488149,7573.432064828579
1,530.9586573438719,559.2602797730278,530.9586573438137
2,447.7648282535374,452.4350550079207,447.76482825371204
3,7815.611205068417,8061.633025427296,7815.611205067777
4,506.2318319613114,547.5433795562974,506.2318319613696
5,6423.196810361929,6362.208132390857,6423.196810360998
6,2563.2385360077024,2558.1725123499336,2563.238536008226
7,7335.296954370104,7101.027519073447,7335.296954370337
8,446.3768881848082,445.48266029120714,446.3768881855649
9,704.6123571312055,689.0926903367132,704.6123571308563
10,752.6780678275973,804.2214467381017,752.678067827248
11,3740.394058882259,3886.823967496534,3740.3940588813857
12,1548.3068511104211,1627.8068107716651,1548.3068511105375
13,1053.667068041861,1064.5211232156428,1053.6670680418028
14,8566.41280447971,8379.280000357254,8566.41280448006
15,660.5906762173399,621.1065598994392,660.5906762168743
16,485.5490363612771,468.67145061057425,485.54903636075323
17,5991.4109170511365,5834.538655897467,5991.410917050671
18,3268.630514438264,3192.8609141987936,3268.6305144378566
